Week,SKU,Product Name,Category,Unit Price,Units Sold
2024-11-11,C-001,Candles item 1,Candles,18.19,36
2024-11-18,C-001,Candles item 1,Candles,18.19,47
2024-11-25,C-001,Candles item 1,Candles,18.19,35
2024-12-02,C-001,Candles item 1,Candles,18.19,42
2024-12-09,C-001,Candles item 1,Candles,13.07,90
2024-12-16,C-001,Candles item 1,Candles,18.19,60
2024-12-23,C-001,Candles item 1,Candles,18.19,25
2024-01-01,C-002,Candles item 2,Candles,9.35,74
2024-01-08,C-002,Candles item 2,Candles,9.35,47
2024-01-15,C-002,Candles item 2,Candles,9.35,76
2024-01-22,C-002,Candles item 2,Candles,6.86,127
2024-01-29,C-002,Candles item 2,Candles,9.35,66
2024-02-05,C-002,Candles item 2,Candles,9.35,66
2024-02-12,C-002,Candles item 2,Candles,9.35,56
2024-02-19,C-002,Candles item 2,Candles,8.38,74
2024-02-26,C-002,Candles item 2,Candles,6.67,115
2024-03-04,C-002,Candles item 2,Candles,9.35,66
2024-03-11,C-002,Candles item 2,Candles,9.35,44
2024-03-18,C-002,Candles item 2,Candles,9.35,47
2024-03-25,C-002,Candles item 2,Candles,9.35,53
2024-04-01,C-002,Candles item 2,Candles,9.35,57
2024-04-08,C-002,Candles item 2,Candles,9.35,73
2024-04-15,C-002,Candles item 2,Candles,9.35,70
2024-04-22,C-002,Candles item 2,Candles,9.35,58
2024-04-29,C-002,Candles item 2,Candles,9.35,63
2024-05-06,C-002,Candles item 2,Candles,9.35,68
2024-05-13,C-002,Candles item 2,Candles,9.35,56
2024-05-20,C-002,Candles item 2,Candles,9.35,68
2024-05-27,C-002,Candles item 2,Candles,9.35,61
2024-06-03,C-002,Candles item 2,Candles,9.35,63
2024-06-10,C-002,Candles item 2,Candles,9.35,53
2024-06-17,C-002,Candles item 2,Candles,9.35,68
2024-06-24,C-002,Candles item 2,Candles,9.35,51
2024-07-01,C-002,Candles item 2,Candles,9.35,68
2024-07-08,C-002,Candles item 2,Candles,9.35,58
2024-07-15,C-002,Candles item 2,Candles,9.35,58
2024-07-22,C-002,Candles item 2,Candles,9.35,65
2024-07-29,C-002,Candles item 2,Candles,7.58,91
2024-08-05,C-002,Candles item 2,Candles,9.35,66
2024-08-12,C-002,Candles item 2,Candles,9.35,64
2024-08-19,C-002,Candles item 2,Candles,9.35,64
2024-08-26,C-002,Candles item 2,Candles,9.35,68
2024-09-02,C-002,Candles item 2,Candles,9.35,66
2024-09-09,C-002,Candles item 2,Candles,9.35,52
2024-09-16,C-002,Candles item 2,Candles,9.35,60
2024-09-23,C-002,Candles item 2,Candles,9.35,51
2024-09-30,C-002,Candles item 2,Candles,9.35,53
2024-10-07,C-002,Candles item 2,Candles,9.35,44
2024-10-14,C-002,Candles item 2,Candles,9.35,50
2024-10-21,C-002,Candles item 2,Candles,9.35,67
2024-10-28,C-002,Candles item 2,Candles,9.35,58
2024-11-04,C-002,Candles item 2,Candles,9.35,69
2024-11-11,C-002,Candles item 2,Candles,9.35,46
2024-11-18,C-002,Candles item 2,Candles,9.35,54
2024-11-25,C-002,Candles item 2,Candles,9.35,87
2024-12-02,C-002,Candles item 2,Candles,9.35,59
2024-12-09,C-002,Candles item 2,Candles,9.35,79
2024-12-16,C-002,Candles item 2,Candles,8.24,71
2024-12-23,C-002,Candles item 2,Candles,9.35,63
2024-01-01,C-003,Candles item 3,Candles,7.95,15
2024-01-08,C-003,Candles item 3,Candles,9.17,16
2024-01-15,C-003,Candles item 3,Candles,9.17,11
2024-01-22,C-003,Candles item 3,Candles,9.17,12
2024-01-29,C-003,Candles item 3,Candles,9.17,14
2024-02-05,C-003,Candles item 3,Candles,9.17,19
2024-02-12,C-003,Candles item 3,Candles,9.17,17
2024-02-19,C-003,Candles item 3,Candles,9.17,19
2024-02-26,C-003,Candles item 3,Candles,9.17,20
2024-03-04,C-003,Candles item 3,Candles,8.44,22
2024-03-11,C-003,Candles item 3,Candles,8.44,15
2024-03-18,C-003,Candles item 3,Candles,8.44,23
2024-03-25,C-003,Candles item 3,Candles,8.44,15
2024-04-01,C-003,Candles item 3,Candles,8.44,15
2024-04-08,C-003,Candles item 3,Candles,6.79,29
2024-04-15,C-003,Candles item 3,Candles,8.44,12
2024-04-22,C-003,Candles item 3,Candles,8.44,22
2024-04-29,C-003,Candles item 3,Candles,8.44,11
2024-05-06,C-003,Candles item 3,Candles,8.44,14
2024-05-13,C-003,Candles item 3,Candles,8.44,17
2024-05-20,C-003,Candles item 3,Candles,8.44,25
2024-05-27,C-003,Candles item 3,Candles,8.44,14
2024-06-03,C-003,Candles item 3,Candles,8.44,12
2024-06-10,C-003,Candles item 3,Candles,5.97,43
2024-06-17,C-003,Candles item 3,Candles,8.44,20
2024-06-24,C-003,Candles item 3,Candles,8.44,22
2024-07-01,C-003,Candles item 3,Candles,8.44,21
2024-07-08,C-003,Candles item 3,Candles,7.17,22
2024-07-15,C-003,Candles item 3,Candles,8.44,10
2024-07-22,C-003,Candles item 3,Candles,8.44,22
2024-07-29,C-003,Candles item 3,Candles,8.44,12
2024-08-05,C-003,Candles item 3,Candles,8.44,12
2024-08-12,C-003,Candles item 3,Candles,7.29,31
2024-08-19,C-003,Candles item 3,Candles,8.44,22
2024-08-26,C-003,Candles item 3,Candles,8.44,14
2024-09-02,C-003,Candles item 3,Candles,5.92,46
2024-09-09,C-003,Candles item 3,Candles,8.44,14
2024-09-16,C-003,Candles item 3,Candles,8.44,14
2024-09-23,C-003,Candles item 3,Candles,8.44,20
2024-09-30,C-003,Candles item 3,Candles,8.44,21
2024-10-07,C-003,Candles item 3,Candles,7.48,20
2024-10-14,C-003,Candles item 3,Candles,8.44,18
2024-10-21,C-003,Candles item 3,Candles,8.44,13
2024-10-28,C-003,Candles item 3,Candles,8.44,10
2024-11-04,C-003,Candles item 3,Candles,6.77,30
2024-11-11,C-003,Candles item 3,Candles,8.44,18
2024-11-18,C-003,Candles item 3,Candles,8.44,11
2024-11-25,C-003,Candles item 3,Candles,8.44,14
2024-12-02,C-003,Candles item 3,Candles,6.25,29
2024-12-09,C-003,Candles item 3,Candles,6.65,28
2024-12-16,C-003,Candles item 3,Candles,6.70,35
2024-12-23,C-003,Candles item 3,Candles,8.74,17
2024-01-01,C-004,Candles item 4,Candles,13.22,33
2024-01-08,C-004,Candles item 4,Candles,13.22,49
2024-01-15,C-004,Candles item 4,Candles,13.22,29
2024-01-22,C-004,Candles item 4,Candles,13.22,24
2024-01-29,C-004,Candles item 4,Candles,13.22,31
2024-02-05,C-004,Candles item 4,Candles,13.22,26
2024-02-12,C-004,Candles item 4,Candles,13.22,19
2024-02-19,C-004,Candles item 4,Candles,13.22,26
2024-02-26,C-004,Candles item 4,Candles,13.22,32
2024-03-04,C-004,Candles item 4,Candles,13.22,29
2024-03-11,C-004,Candles item 4,Candles,13.22,39
2024-03-18,C-004,Candles item 4,Candles,13.22,33
2024-03-25,C-004,Candles item 4,Candles,13.22,31
2024-04-01,C-004,Candles item 4,Candles,13.22,28
2024-04-08,C-004,Candles item 4,Candles,13.22,42
2024-04-15,C-004,Candles item 4,Candles,13.22,30
2024-04-22,C-004,Candles item 4,Candles,13.22,47
2024-04-29,C-004,Candles item 4,Candles,10.24,31
2024-05-06,C-004,Candles item 4,Candles,13.22,30
2024-05-13,C-004,Candles item 4,Candles,13.22,20
2024-05-20,C-004,Candles item 4,Candles,13.22,33
2024-05-27,C-004,Candles item 4,Candles,13.22,23
2024-06-03,C-004,Candles item 4,Candles,13.22,26
2024-06-10,C-004,Candles item 4,Candles,10.90,42
2024-06-17,C-004,Candles item 4,Candles,14.57,23
2024-06-24,C-004,Candles item 4,Candles,14.57,20
2024-07-01,C-004,Candles item 4,Candles,14.57,22
2024-07-08,C-004,Candles item 4,Candles,14.57,30
2024-07-15,C-004,Candles item 4,Candles,14.57,20
2024-07-22,C-004,Candles item 4,Candles,14.57,25
2024-07-29,C-004,Candles item 4,Candles,14.57,20
2024-08-05,C-004,Candles item 4,Candles,14.57,24
2024-08-12,C-004,Candles item 4,Candles,10.30,47
2024-08-19,C-004,Candles item 4,Candles,14.57,19
2024-08-26,C-004,Candles item 4,Candles,11.60,37
2024-09-02,C-004,Candles item 4,Candles,14.57,19
2024-09-09,C-004,Candles item 4,Candles,14.57,22
2024-09-16,C-004,Candles item 4,Candles,11.28,56
2024-09-23,C-004,Candles item 4,Candles,14.57,21
2024-09-30,C-004,Candles item 4,Candles,14.57,23
2024-10-07,C-004,Candles item 4,Candles,14.57,25
2024-10-14,C-004,Candles item 4,Candles,14.57,20
2024-10-21,C-004,Candles item 4,Candles,14.57,30
2024-10-28,C-004,Candles item 4,Candles,14.57,30
2024-11-04,C-004,Candles item 4,Candles,14.57,31
2024-11-11,C-004,Candles item 4,Candles,14.57,29
2024-11-18,C-004,Candles item 4,Candles,14.57,15
2024-11-25,C-004,Candles item 4,Candles,14.57,22
2024-12-02,C-004,Candles item 4,Candles,14.57,13
2024-12-09,C-004,Candles item 4,Candles,12.96,29
2024-12-16,C-004,Candles item 4,Candles,12.18,41
2024-12-23,C-004,Candles item 4,Candles,15.32,22
2024-01-01,C-005,Candles item 5,Candles,9.19,12
2024-01-08,C-005,Candles item 5,Candles,9.45,9
2024-01-15,C-005,Candles item 5,Candles,9.45,9
2024-01-22,C-005,Candles item 5,Candles,9.45,12
2024-01-29,C-005,Candles item 5,Candles,9.45,11
2024-02-05,C-005,Candles item 5,Candles,9.45,9
2024-02-12,C-005,Candles item 5,Candles,10.95,8
2024-02-19,C-005,Candles item 5,Candles,10.95,4
2024-02-26,C-005,Candles item 5,Candles,10.95,6
2024-03-04,C-005,Candles item 5,Candles,10.95,2
2024-03-11,C-005,Candles item 5,Candles,10.95,14
2024-03-18,C-005,Candles item 5,Candles,10.95,5
2024-03-25,C-005,Candles item 5,Candles,10.95,12
2024-04-01,C-005,Candles item 5,Candles,10.98,4
2024-04-08,C-005,Candles item 5,Candles,10.98,6
2024-04-15,C-005,Candles item 5,Candles,10.98,4
2024-04-22,C-005,Candles item 5,Candles,8.03,23
2024-04-29,C-005,Candles item 5,Candles,10.98,4
2024-05-06,C-005,Candles item 5,Candles,10.98,5
2024-05-13,C-005,Candles item 5,Candles,8.50,13
2024-05-20,C-005,Candles item 5,Candles,7.82,9
2024-05-27,C-005,Candles item 5,Candles,8.70,12
2024-06-03,C-005,Candles item 5,Candles,10.98,12
2024-06-10,C-005,Candles item 5,Candles,10.98,5
2024-06-17,C-005,Candles item 5,Candles,10.98,7
2024-06-24,C-005,Candles item 5,Candles,10.98,7
2024-07-01,C-005,Candles item 5,Candles,10.98,3
2024-07-08,C-005,Candles item 5,Candles,10.98,4
2024-07-15,C-005,Candles item 5,Candles,10.98,12
2024-07-22,C-005,Candles item 5,Candles,10.98,9
2024-07-29,C-005,Candles item 5,Candles,10.98,14
2024-08-05,C-005,Candles item 5,Candles,7.92,7
2024-08-12,C-005,Candles item 5,Candles,10.98,2
2024-08-19,C-005,Candles item 5,Candles,10.98,7
2024-08-26,C-005,Candles item 5,Candles,10.98,8
2024-09-02,C-005,Candles item 5,Candles,10.98,6
2024-09-09,C-005,Candles item 5,Candles,10.98,8
2024-09-16,C-005,Candles item 5,Candles,10.98,5
2024-09-23,C-005,Candles item 5,Candles,10.98,13
2024-09-30,C-005,Candles item 5,Candles,10.98,6
2024-10-07,C-005,Candles item 5,Candles,8.59,15
2024-10-14,C-005,Candles item 5,Candles,10.98,7
2024-10-21,C-005,Candles item 5,Candles,10.98,4
2024-10-28,C-005,Candles item 5,Candles,9.63,12
2024-11-04,C-005,Candles item 5,Candles,10.98,10
2024-11-11,C-005,Candles item 5,Candles,10.98,7
2024-11-18,C-005,Candles item 5,Candles,10.98,9
2024-11-25,C-005,Candles item 5,Candles,10.98,8
2024-12-02,C-005,Candles item 5,Candles,12.40,3
2024-12-09,C-005,Candles item 5,Candles,12.40,5
2024-12-16,C-005,Candles item 5,Candles,12.40,3
2024-12-23,C-005,Candles item 5,Candles,12.40,3
2024-01-01,C-006,Candles item 6,Candles,14.94,121
2024-01-08,C-006,Candles item 6,Candles,19.16,68
2024-01-15,C-006,Candles item 6,Candles,19.16,68
2024-01-22,C-006,Candles item 6,Candles,19.16,87
2024-01-29,C-006,Candles item 6,Candles,19.16,70
2024-02-05,C-006,Candles item 6,Candles,19.16,89
2024-02-12,C-006,Candles item 6,Candles,19.16,69
2024-02-19,C-006,Candles item 6,Candles,19.16,72
2024-02-26,C-006,Candles item 6,Candles,19.16,73
2024-03-04,C-006,Candles item 6,Candles,19.16,75
2024-03-11,C-006,Candles item 6,Candles,19.16,70
2024-03-18,C-006,Candles item 6,Candles,19.16,80
2024-03-25,C-006,Candles item 6,Candles,15.11,141
2024-04-01,C-006,Candles item 6,Candles,19.16,85
2024-04-08,C-006,Candles item 6,Candles,15.04,107
2024-04-15,C-006,Candles item 6,Candles,14.22,136
2024-04-22,C-006,Candles item 6,Candles,19.16,87
2024-04-29,C-006,Candles item 6,Candles,19.16,81
2024-05-06,C-006,Candles item 6,Candles,14.54,120
2024-05-13,C-006,Candles item 6,Candles,19.16,85
2024-05-20,C-006,Candles item 6,Candles,15.97,120
2024-05-27,C-006,Candles item 6,Candles,19.16,74
2024-06-03,C-006,Candles item 6,Candles,19.16,61
2024-06-10,C-006,Candles item 6,Candles,19.16,94
2024-06-17,C-006,Candles item 6,Candles,19.16,77
2024-06-24,C-006,Candles item 6,Candles,15.27,167
2024-07-01,C-006,Candles item 6,Candles,19.16,81
2024-07-08,C-006,Candles item 6,Candles,15.37,138
2024-07-15,C-006,Candles item 6,Candles,19.16,89
2024-07-22,C-006,Candles item 6,Candles,19.16,81
2024-07-29,C-006,Candles item 6,Candles,19.16,80
2024-08-05,C-006,Candles item 6,Candles,16.60,108
2024-08-12,C-006,Candles item 6,Candles,19.16,84
2024-08-19,C-006,Candles item 6,Candles,19.16,63
2024-08-26,C-006,Candles item 6,Candles,19.16,110
2024-09-02,C-006,Candles item 6,Candles,19.16,73
2024-09-09,C-006,Candles item 6,Candles,19.16,82
2024-09-16,C-006,Candles item 6,Candles,19.16,64
2024-09-23,C-006,Candles item 6,Candles,19.16,75
2024-09-30,C-006,Candles item 6,Candles,19.16,79
2024-10-07,C-006,Candles item 6,Candles,16.81,75
2024-10-14,C-006,Candles item 6,Candles,12.96,135
2024-10-21,C-006,Candles item 6,Candles,15.90,116
2024-10-28,C-006,Candles item 6,Candles,15.90,124
2024-11-04,C-006,Candles item 6,Candles,15.90,125
2024-11-11,C-006,Candles item 6,Candles,15.90,114
2024-11-18,C-006,Candles item 6,Candles,15.90,132
2024-11-25,C-006,Candles item 6,Candles,15.90,150
2024-12-02,C-006,Candles item 6,Candles,15.90,106
2024-12-09,C-006,Candles item 6,Candles,15.90,115
2024-12-16,C-006,Candles item 6,Candles,14.61,141
2024-12-23,C-006,Candles item 6,Candles,18.58,69
2024-01-01,C-007,Candles item 7,Candles,25.31,38
2024-01-08,C-007,Candles item 7,Candles,18.38,62
2024-01-15,C-007,Candles item 7,Candles,25.31,25
2024-01-22,C-007,Candles item 7,Candles,25.31,38
2024-01-29,C-007,Candles item 7,Candles,25.31,43
2024-02-05,C-007,Candles item 7,Candles,20.70,57
2024-02-12,C-007,Candles item 7,Candles,25.31,24
2024-02-19,C-007,Candles item 7,Candles,25.31,30
2024-02-26,C-007,Candles item 7,Candles,25.31,28
2024-03-04,C-007,Candles item 7,Candles,25.31,44
2024-03-11,C-007,Candles item 7,Candles,25.31,31
2024-03-18,C-007,Candles item 7,Candles,25.31,27
2024-03-25,C-007,Candles item 7,Candles,25.31,26
2024-04-01,C-007,Candles item 7,Candles,25.31,26
2024-04-08,C-007,Candles item 7,Candles,25.31,40
2024-04-15,C-007,Candles item 7,Candles,25.31,24
2024-04-22,C-007,Candles item 7,Candles,25.31,39
2024-04-29,C-007,Candles item 7,Candles,18.98,48
2024-05-06,C-007,Candles item 7,Candles,25.31,25
2024-05-13,C-007,Candles item 7,Candles,25.31,39
2024-05-20,C-007,Candles item 7,Candles,25.31,33
2024-05-27,C-007,Candles item 7,Candles,25.31,31
2024-06-03,C-007,Candles item 7,Candles,19.64,68
2024-06-10,C-007,Candles item 7,Candles,18.29,66
2024-06-17,C-007,Candles item 7,Candles,25.31,20
2024-06-24,C-007,Candles item 7,Candles,25.31,45
2024-07-01,C-007,Candles item 7,Candles,18.21,71
2024-07-08,C-007,Candles item 7,Candles,25.31,31
2024-07-15,C-007,Candles item 7,Candles,25.31,36
2024-07-22,C-007,Candles item 7,Candles,25.31,36
2024-07-29,C-007,Candles item 7,Candles,17.85,32
2024-08-05,C-007,Candles item 7,Candles,25.31,29
2024-08-12,C-007,Candles item 7,Candles,25.31,33
2024-08-19,C-007,Candles item 7,Candles,21.00,45
2024-08-26,C-007,Candles item 7,Candles,21.45,58
2024-09-02,C-007,Candles item 7,Candles,25.31,31
2024-09-09,C-007,Candles item 7,Candles,25.31,23
2024-09-16,C-007,Candles item 7,Candles,25.31,28
2024-09-23,C-007,Candles item 7,Candles,25.31,34
2024-09-30,C-007,Candles item 7,Candles,22.55,36
2024-10-07,C-007,Candles item 7,Candles,25.31,31
2024-10-14,C-007,Candles item 7,Candles,19.28,49
2024-10-21,C-007,Candles item 7,Candles,25.31,44
2024-10-28,C-007,Candles item 7,Candles,25.31,34
2024-11-04,C-007,Candles item 7,Candles,25.31,40
2024-11-11,C-007,Candles item 7,Candles,20.36,41
2024-11-18,C-007,Candles item 7,Candles,25.31,38
2024-11-25,C-007,Candles item 7,Candles,25.31,33
2024-12-02,C-007,Candles item 7,Candles,25.31,30
2024-12-09,C-007,Candles item 7,Candles,21.26,50
2024-12-16,C-007,Candles item 7,Candles,25.31,27
2024-12-23,C-007,Candles item 7,Candles,19.93,65
2024-01-01,C-008,Candles item 8,Candles,11.01,19
2024-01-08,C-008,Candles item 8,Candles,11.01,29
2024-01-15,C-008,Candles item 8,Candles,11.01,42
2024-01-22,C-008,Candles item 8,Candles,11.01,22
2024-01-29,C-008,Candles item 8,Candles,11.01,29
2024-02-05,C-008,Candles item 8,Candles,8.60,66
2024-02-12,C-008,Candles item 8,Candles,11.01,25
2024-02-19,C-008,Candles item 8,Candles,11.67,20
2024-02-26,C-008,Candles item 8,Candles,9.45,33
2024-03-04,C-008,Candles item 8,Candles,11.67,24
2024-03-11,C-008,Candles item 8,Candles,11.67,29
2024-03-18,C-008,Candles item 8,Candles,11.89,18
2024-03-25,C-008,Candles item 8,Candles,11.89,25
2024-04-01,C-008,Candles item 8,Candles,11.89,23
2024-04-08,C-008,Candles item 8,Candles,11.89,31
2024-04-15,C-008,Candles item 8,Candles,11.89,31
2024-04-22,C-008,Candles item 8,Candles,11.89,23
2024-04-29,C-008,Candles item 8,Candles,11.89,38
2024-05-06,C-008,Candles item 8,Candles,11.89,41
2024-05-13,C-008,Candles item 8,Candles,11.89,21
2024-05-20,C-008,Candles item 8,Candles,11.89,23
2024-05-27,C-008,Candles item 8,Candles,11.89,34
2024-06-03,C-008,Candles item 8,Candles,11.89,28
2024-06-10,C-008,Candles item 8,Candles,11.89,22
2024-06-17,C-008,Candles item 8,Candles,11.89,25
2024-06-24,C-008,Candles item 8,Candles,11.89,28
2024-07-01,C-008,Candles item 8,Candles,11.89,24
2024-07-08,C-008,Candles item 8,Candles,11.89,24
2024-07-15,C-008,Candles item 8,Candles,11.89,28
2024-07-22,C-008,Candles item 8,Candles,8.48,57
2024-07-29,C-008,Candles item 8,Candles,11.89,29
2024-08-05,C-008,Candles item 8,Candles,11.89,18
2024-08-12,C-008,Candles item 8,Candles,8.46,47
2024-08-19,C-008,Candles item 8,Candles,11.89,21
2024-08-26,C-008,Candles item 8,Candles,11.89,20
2024-09-02,C-008,Candles item 8,Candles,11.89,27
2024-09-09,C-008,Candles item 8,Candles,11.89,29
2024-09-16,C-008,Candles item 8,Candles,11.89,35
2024-09-23,C-008,Candles item 8,Candles,11.85,27
2024-09-30,C-008,Candles item 8,Candles,11.85,36
2024-10-07,C-008,Candles item 8,Candles,11.85,29
2024-10-14,C-008,Candles item 8,Candles,11.85,26
2024-10-21,C-008,Candles item 8,Candles,11.85,28
2024-10-28,C-008,Candles item 8,Candles,9.07,44
2024-11-04,C-008,Candles item 8,Candles,10.21,33
2024-11-11,C-008,Candles item 8,Candles,9.12,49
2024-11-18,C-008,Candles item 8,Candles,11.85,36
2024-11-25,C-008,Candles item 8,Candles,11.85,25
2024-12-02,C-008,Candles item 8,Candles,11.85,25
2024-12-09,C-008,Candles item 8,Candles,11.85,20
2024-12-16,C-008,Candles item 8,Candles,11.85,26
2024-12-23,C-008,Candles item 8,Candles,11.85,20
2024-01-01,C-009,Candles item 9,Candles,14.01,83
2024-01-08,C-009,Candles item 9,Candles,10.37,111
2024-01-15,C-009,Candles item 9,Candles,14.01,79
2024-01-22,C-009,Candles item 9,Candles,14.37,63
2024-01-29,C-009,Candles item 9,Candles,14.37,89
2024-02-05,C-009,Candles item 9,Candles,14.37,78
2024-02-12,C-009,Candles item 9,Candles,10.63,124
2024-02-19,C-009,Candles item 9,Candles,14.37,58
2024-02-26,C-009,Candles item 9,Candles,11.85,97
2024-03-04,C-009,Candles item 9,Candles,14.37,87
2024-03-11,C-009,Candles item 9,Candles,14.37,77
2024-03-18,C-009,Candles item 9,Candles,14.37,72
2024-03-25,C-009,Candles item 9,Candles,14.37,70
2024-04-01,C-009,Candles item 9,Candles,14.37,72
2024-04-08,C-009,Candles item 9,Candles,14.37,73
2024-04-15,C-009,Candles item 9,Candles,14.37,76
2024-04-22,C-009,Candles item 9,Candles,11.55,100
2024-04-29,C-009,Candles item 9,Candles,10.09,181
2024-05-06,C-009,Candles item 9,Candles,14.37,91
2024-05-13,C-009,Candles item 9,Candles,14.37,63
2024-05-20,C-009,Candles item 9,Candles,11.75,117
2024-05-27,C-009,Candles item 9,Candles,14.37,66
2024-06-03,C-009,Candles item 9,Candles,14.37,78
2024-06-10,C-009,Candles item 9,Candles,14.37,86
2024-06-17,C-009,Candles item 9,Candles,14.37,76
2024-06-24,C-009,Candles item 9,Candles,14.37,69
2024-07-01,C-009,Candles item 9,Candles,14.37,79
2024-07-08,C-009,Candles item 9,Candles,13.93,66
2024-07-15,C-009,Candles item 9,Candles,10.40,107
2024-07-22,C-009,Candles item 9,Candles,13.93,72
2024-07-29,C-009,Candles item 9,Candles,9.89,162
2024-08-05,C-009,Candles item 9,Candles,15.72,65
2024-08-12,C-009,Candles item 9,Candles,15.72,59
2024-08-19,C-009,Candles item 9,Candles,15.72,70
2024-08-26,C-009,Candles item 9,Candles,15.72,43
2024-09-02,C-009,Candles item 9,Candles,15.72,53
2024-09-09,C-009,Candles item 9,Candles,11.29,121
2024-09-16,C-009,Candles item 9,Candles,15.72,49
2024-09-23,C-009,Candles item 9,Candles,15.57,67
2024-09-30,C-009,Candles item 9,Candles,15.57,61
2024-10-07,C-009,Candles item 9,Candles,15.57,64
2024-10-14,C-009,Candles item 9,Candles,15.57,58
2024-10-21,C-009,Candles item 9,Candles,12.67,100
2024-10-28,C-009,Candles item 9,Candles,15.57,83
2024-11-04,C-009,Candles item 9,Candles,15.57,44
2024-11-11,C-009,Candles item 9,Candles,15.57,65
2024-11-18,C-009,Candles item 9,Candles,15.84,57
2024-11-25,C-009,Candles item 9,Candles,15.84,51
2024-12-02,C-009,Candles item 9,Candles,15.84,66
2024-12-09,C-009,Candles item 9,Candles,15.84,59
2024-12-16,C-009,Candles item 9,Candles,15.84,69
2024-12-23,C-009,Candles item 9,Candles,15.84,72
2024-01-01,C-010,Candles item 10,Candles,15.54,26
2024-01-08,C-010,Candles item 10,Candles,19.00,23
2024-01-15,C-010,Candles item 10,Candles,19.00,13
2024-01-22,C-010,Candles item 10,Candles,19.00,28
2024-01-29,C-010,Candles item 10,Candles,15.43,29
2024-02-05,C-010,Candles item 10,Candles,16.00,30
2024-02-12,C-010,Candles item 10,Candles,19.00,28
2024-02-19,C-010,Candles item 10,Candles,19.00,21
2024-02-26,C-010,Candles item 10,Candles,21.28,23
2024-03-04,C-010,Candles item 10,Candles,16.69,34
2024-03-11,C-010,Candles item 10,Candles,18.30,19
2024-03-18,C-010,Candles item 10,Candles,21.28,23
2024-03-25,C-010,Candles item 10,Candles,21.28,20
2024-04-01,C-010,Candles item 10,Candles,21.28,5
2024-04-08,C-010,Candles item 10,Candles,21.28,18
2024-04-15,C-010,Candles item 10,Candles,21.28,20
2024-04-22,C-010,Candles item 10,Candles,18.73,25
2024-04-29,C-010,Candles item 10,Candles,21.28,21
2024-05-06,C-010,Candles item 10,Candles,18.95,27
2024-05-13,C-010,Candles item 10,Candles,21.28,11
2024-05-20,C-010,Candles item 10,Candles,21.28,21
2024-05-27,C-010,Candles item 10,Candles,21.28,21
2024-06-03,C-010,Candles item 10,Candles,21.28,16
2024-06-10,C-010,Candles item 10,Candles,15.55,28
2024-06-17,C-010,Candles item 10,Candles,21.28,13
2024-06-24,C-010,Candles item 10,Candles,21.28,12
2024-07-01,C-010,Candles item 10,Candles,21.28,15
2024-07-08,C-010,Candles item 10,Candles,21.28,21
2024-07-15,C-010,Candles item 10,Candles,21.28,10
2024-07-22,C-010,Candles item 10,Candles,22.85,17
