Date,Item Code,Item Name,Department,Price,Qty
2024-01-24,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-01-26,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-01-29,SO-002,Single Origin item 2,Single Origin,7.09,12
2024-02-05,SO-002,Single Origin item 2,Single Origin,7.09,12
2024-02-12,SO-002,Single Origin item 2,Single Origin,7.09,19
2024-02-19,SO-002,Single Origin item 2,Single Origin,7.09,10
2024-02-21,SO-002,Single Origin item 2,Single Origin,7.09,9
2024-02-26,SO-002,Single Origin item 2,Single Origin,7.09,15
2024-03-04,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-03-06,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-03-08,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-03-11,SO-002,Single Origin item 2,Single Origin,7.09,13
2024-03-18,SO-002,Single Origin item 2,Single Origin,7.09,12
2024-03-20,SO-002,Single Origin item 2,Single Origin,7.09,11
2024-03-25,SO-002,Single Origin item 2,Single Origin,7.09,8
2024-03-27,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-04-01,SO-002,Single Origin item 2,Single Origin,7.09,8
2024-04-08,SO-002,Single Origin item 2,Single Origin,7.09,18
2024-04-15,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-04-17,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-04-22,SO-002,Single Origin item 2,Single Origin,5.92,9
2024-04-24,SO-002,Single Origin item 2,Single Origin,5.92,8
2024-04-29,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-05-01,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-05-03,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-05-06,SO-002,Single Origin item 2,Single Origin,5.08,5
2024-05-08,SO-002,Single Origin item 2,Single Origin,5.08,4
2024-05-13,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-05-15,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-05-17,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-05-20,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-05-22,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-05-27,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-05-29,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-06-03,SO-002,Single Origin item 2,Single Origin,5.90,2
2024-06-05,SO-002,Single Origin item 2,Single Origin,5.90,2
2024-06-10,SO-002,Single Origin item 2,Single Origin,6.27,5
2024-06-12,SO-002,Single Origin item 2,Single Origin,6.27,5
2024-06-14,SO-002,Single Origin item 2,Single Origin,6.27,5
2024-06-17,SO-002,Single Origin item 2,Single Origin,7.09,27
2024-06-24,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-06-26,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-06-28,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-07-01,SO-002,Single Origin item 2,Single Origin,7.09,10
2024-07-08,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-07-10,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-07-12,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-07-15,SO-002,Single Origin item 2,Single Origin,5.61,8
2024-07-22,SO-002,Single Origin item 2,Single Origin,7.09,9
2024-07-29,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-07-31,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-08-02,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-08-05,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-08-07,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-08-09,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-08-12,SO-002,Single Origin item 2,Single Origin,7.09,14
2024-08-19,SO-002,Single Origin item 2,Single Origin,7.09,8
2024-08-21,SO-002,Single Origin item 2,Single Origin,7.09,8
2024-08-26,SO-002,Single Origin item 2,Single Origin,7.09,9
2024-09-02,SO-002,Single Origin item 2,Single Origin,6.15,6
2024-09-09,SO-002,Single Origin item 2,Single Origin,7.09,8
2024-09-11,SO-002,Single Origin item 2,Single Origin,7.09,8
2024-09-16,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-09-18,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-09-20,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-09-23,SO-002,Single Origin item 2,Single Origin,7.09,14
2024-09-30,SO-002,Single Origin item 2,Single Origin,7.09,21
2024-10-07,SO-002,Single Origin item 2,Single Origin,7.09,10
2024-10-09,SO-002,Single Origin item 2,Single Origin,7.09,9
2024-10-14,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-10-16,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-10-18,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-10-21,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-10-23,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-10-28,SO-002,Single Origin item 2,Single Origin,6.13,12
2024-10-30,SO-002,Single Origin item 2,Single Origin,6.13,12
2024-11-04,SO-002,Single Origin item 2,Single Origin,5.03,6
2024-11-06,SO-002,Single Origin item 2,Single Origin,5.03,6
2024-11-11,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-11-13,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-11-15,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-11-18,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-11-20,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-11-22,SO-002,Single Origin item 2,Single Origin,7.09,3
2024-11-25,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-11-27,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-12-02,SO-002,Single Origin item 2,Single Origin,7.09,10
2024-12-09,SO-002,Single Origin item 2,Single Origin,7.09,13
2024-12-16,SO-002,Single Origin item 2,Single Origin,7.09,7
2024-12-18,SO-002,Single Origin item 2,Single Origin,7.09,6
2024-12-23,SO-002,Single Origin item 2,Single Origin,7.09,12
2024-01-01,SO-003,Single Origin item 3,Single Origin,9.46,10
2024-01-03,SO-003,Single Origin item 3,Single Origin,9.46,10
2024-01-05,SO-003,Single Origin item 3,Single Origin,9.46,9
2024-01-08,SO-003,Single Origin item 3,Single Origin,9.46,26
2024-01-15,SO-003,Single Origin item 3,Single Origin,7.38,9
2024-01-17,SO-003,Single Origin item 3,Single Origin,7.38,8
2024-01-19,SO-003,Single Origin item 3,Single Origin,7.38,8
2024-01-22,SO-003,Single Origin item 3,Single Origin,7.41,18
2024-01-24,SO-003,Single Origin item 3,Single Origin,7.41,18
2024-01-29,SO-003,Single Origin item 3,Single Origin,9.46,10
2024-01-31,SO-003,Single Origin item 3,Single Origin,9.46,10
2024-02-05,SO-003,Single Origin item 3,Single Origin,9.46,33
2024-02-12,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-02-14,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-02-16,SO-003,Single Origin item 3,Single Origin,9.46,6
2024-02-19,SO-003,Single Origin item 3,Single Origin,9.46,27
2024-02-26,SO-003,Single Origin item 3,Single Origin,9.46,9
2024-02-28,SO-003,Single Origin item 3,Single Origin,9.46,8
2024-03-04,SO-003,Single Origin item 3,Single Origin,7.42,20
2024-03-06,SO-003,Single Origin item 3,Single Origin,7.42,19
2024-03-11,SO-003,Single Origin item 3,Single Origin,9.46,34
2024-03-18,SO-003,Single Origin item 3,Single Origin,9.46,18
2024-03-20,SO-003,Single Origin item 3,Single Origin,9.46,18
2024-03-25,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-03-27,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-03-29,SO-003,Single Origin item 3,Single Origin,9.46,6
2024-04-01,SO-003,Single Origin item 3,Single Origin,9.46,15
2024-04-03,SO-003,Single Origin item 3,Single Origin,9.46,14
2024-04-08,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-04-10,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-04-12,SO-003,Single Origin item 3,Single Origin,9.46,7
2024-04-15,SO-003,Single Origin item 3,Single Origin,9.46,25
2024-04-22,SO-003,Single Origin item 3,Single Origin,9.46,35
2024-04-29,SO-003,Single Origin item 3,Single Origin,9.46,14
2024-05-01,SO-003,Single Origin item 3,Single Origin,9.46,14
2024-05-03,SO-003,Single Origin item 3,Single Origin,9.46,13
2024-05-06,SO-003,Single Origin item 3,Single Origin,6.91,35
2024-05-13,SO-003,Single Origin item 3,Single Origin,7.10,49
2024-05-20,SO-003,Single Origin item 3,Single Origin,9.46,18
2024-05-27,SO-003,Single Origin item 3,Single Origin,9.46,10
2024-05-29,SO-003,Single Origin item 3,Single Origin,9.46,9
2024-05-31,SO-003,Single Origin item 3,Single Origin,9.46,9
2024-06-03,SO-003,Single Origin item 3,Single Origin,7.31,30
2024-06-10,SO-003,Single Origin item 3,Single Origin,7.49,6
2024-06-12,SO-003,Single Origin item 3,Single Origin,7.49,6
2024-06-14,SO-003,Single Origin item 3,Single Origin,7.49,6
2024-06-17,SO-003,Single Origin item 3,Single Origin,9.46,8
2024-06-19,SO-003,Single Origin item 3,Single Origin,9.46,8
2024-06-21,SO-003,Single Origin item 3,Single Origin,9.46,8
2024-06-24,SO-003,Single Origin item 3,Single Origin,7.48,11
2024-06-26,SO-003,Single Origin item 3,Single Origin,7.48,11
2024-06-28,SO-003,Single Origin item 3,Single Origin,7.48,11
2024-07-01,SO-003,Single Origin item 3,Single Origin,9.46,20
2024-07-08,SO-003,Single Origin item 3,Single Origin,9.46,17
2024-07-10,SO-003,Single Origin item 3,Single Origin,9.46,16
2024-07-15,SO-003,Single Origin item 3,Single Origin,9.59,10
2024-07-17,SO-003,Single Origin item 3,Single Origin,9.59,10
2024-07-19,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-07-22,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-07-24,SO-003,Single Origin item 3,Single Origin,9.59,8
2024-07-29,SO-003,Single Origin item 3,Single Origin,9.59,10
2024-07-31,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-02,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-05,SO-003,Single Origin item 3,Single Origin,9.59,23
2024-08-12,SO-003,Single Origin item 3,Single Origin,9.59,10
2024-08-14,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-16,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-19,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-21,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-23,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-08-26,SO-003,Single Origin item 3,Single Origin,9.59,16
2024-08-28,SO-003,Single Origin item 3,Single Origin,9.59,15
2024-09-02,SO-003,Single Origin item 3,Single Origin,9.59,11
2024-09-04,SO-003,Single Origin item 3,Single Origin,9.59,11
2024-09-06,SO-003,Single Origin item 3,Single Origin,9.59,11
2024-09-09,SO-003,Single Origin item 3,Single Origin,9.59,8
2024-09-11,SO-003,Single Origin item 3,Single Origin,9.59,7
2024-09-16,SO-003,Single Origin item 3,Single Origin,8.47,22
2024-09-23,SO-003,Single Origin item 3,Single Origin,9.59,16
2024-09-25,SO-003,Single Origin item 3,Single Origin,9.59,15
2024-09-30,SO-003,Single Origin item 3,Single Origin,9.59,37
2024-10-07,SO-003,Single Origin item 3,Single Origin,9.59,12
2024-10-09,SO-003,Single Origin item 3,Single Origin,9.59,11
2024-10-11,SO-003,Single Origin item 3,Single Origin,9.59,11
2024-10-14,SO-003,Single Origin item 3,Single Origin,9.59,17
2024-10-16,SO-003,Single Origin item 3,Single Origin,9.59,16
2024-10-21,SO-003,Single Origin item 3,Single Origin,9.59,19
2024-10-23,SO-003,Single Origin item 3,Single Origin,9.59,18
2024-10-28,SO-003,Single Origin item 3,Single Origin,9.59,16
2024-10-30,SO-003,Single Origin item 3,Single Origin,9.59,16
2024-11-01,SO-003,Single Origin item 3,Single Origin,9.59,15
2024-11-04,SO-003,Single Origin item 3,Single Origin,9.59,9
2024-11-06,SO-003,Single Origin item 3,Single Origin,9.59,8
2024-11-08,SO-003,Single Origin item 3,Single Origin,9.59,8
2024-11-11,SO-003,Single Origin item 3,Single Origin,7.44,13
2024-11-13,SO-003,Single Origin item 3,Single Origin,7.44,13
2024-11-18,SO-003,Single Origin item 3,Single Origin,9.59,35
2024-11-25,SO-003,Single Origin item 3,Single Origin,9.59,34
2024-12-02,SO-003,Single Origin item 3,Single Origin,9.59,27
2024-12-09,SO-003,Single Origin item 3,Single Origin,9.59,29
2024-12-16,SO-003,Single Origin item 3,Single Origin,7.78,19
2024-12-18,SO-003,Single Origin item 3,Single Origin,7.78,19
2024-12-23,SO-003,Single Origin item 3,Single Origin,9.59,32
2024-01-01,SO-004,Single Origin item 4,Single Origin,6.59,47
2024-01-03,SO-004,Single Origin item 4,Single Origin,6.59,47
2024-01-08,SO-004,Single Origin item 4,Single Origin,5.82,116
2024-01-15,SO-004,Single Origin item 4,Single Origin,5.36,46
2024-01-17,SO-004,Single Origin item 4,Single Origin,5.36,46
2024-01-22,SO-004,Single Origin item 4,Single Origin,6.59,35
2024-01-24,SO-004,Single Origin item 4,Single Origin,6.59,35
2024-01-26,SO-004,Single Origin item 4,Single Origin,6.59,35
2024-01-29,SO-004,Single Origin item 4,Single Origin,6.59,111
2024-02-05,SO-004,Single Origin item 4,Single Origin,6.59,41
2024-02-07,SO-004,Single Origin item 4,Single Origin,6.59,40
2024-02-09,SO-004,Single Origin item 4,Single Origin,6.59,40
2024-02-12,SO-004,Single Origin item 4,Single Origin,5.33,66
2024-02-14,SO-004,Single Origin item 4,Single Origin,5.33,65
2024-02-19,SO-004,Single Origin item 4,Single Origin,6.59,30
2024-02-21,SO-004,Single Origin item 4,Single Origin,6.59,29
2024-02-23,SO-004,Single Origin item 4,Single Origin,6.59,29
2024-02-26,SO-004,Single Origin item 4,Single Origin,6.59,57
2024-02-28,SO-004,Single Origin item 4,Single Origin,6.59,57
2024-03-04,SO-004,Single Origin item 4,Single Origin,6.59,88
2024-03-11,SO-004,Single Origin item 4,Single Origin,4.69,61
2024-03-13,SO-004,Single Origin item 4,Single Origin,4.69,60
2024-03-18,SO-004,Single Origin item 4,Single Origin,6.59,44
2024-03-20,SO-004,Single Origin item 4,Single Origin,6.59,43
2024-03-25,SO-004,Single Origin item 4,Single Origin,5.23,41
2024-03-27,SO-004,Single Origin item 4,Single Origin,5.23,41
2024-04-01,SO-004,Single Origin item 4,Single Origin,4.68,64
2024-04-03,SO-004,Single Origin item 4,Single Origin,4.68,64
2024-04-08,SO-004,Single Origin item 4,Single Origin,6.59,112
2024-04-15,SO-004,Single Origin item 4,Single Origin,6.59,72
2024-04-22,SO-004,Single Origin item 4,Single Origin,5.18,39
2024-04-24,SO-004,Single Origin item 4,Single Origin,5.18,38
2024-04-26,SO-004,Single Origin item 4,Single Origin,5.18,38
2024-04-29,SO-004,Single Origin item 4,Single Origin,7.21,35
2024-05-01,SO-004,Single Origin item 4,Single Origin,7.21,35
2024-05-03,SO-004,Single Origin item 4,Single Origin,7.21,35
2024-05-06,SO-004,Single Origin item 4,Single Origin,7.21,92
2024-05-13,SO-004,Single Origin item 4,Single Origin,7.21,50
2024-05-15,SO-004,Single Origin item 4,Single Origin,7.21,49
2024-05-20,SO-004,Single Origin item 4,Single Origin,7.21,46
2024-05-22,SO-004,Single Origin item 4,Single Origin,7.21,46
2024-05-27,SO-004,Single Origin item 4,Single Origin,7.21,106
2024-06-03,SO-004,Single Origin item 4,Single Origin,7.21,43
2024-06-05,SO-004,Single Origin item 4,Single Origin,7.21,43
2024-06-10,SO-004,Single Origin item 4,Single Origin,7.21,47
2024-06-12,SO-004,Single Origin item 4,Single Origin,7.21,46
2024-06-17,SO-004,Single Origin item 4,Single Origin,7.21,101
2024-06-24,SO-004,Single Origin item 4,Single Origin,7.21,25
2024-06-26,SO-004,Single Origin item 4,Single Origin,7.21,24
2024-06-28,SO-004,Single Origin item 4,Single Origin,7.21,24
2024-07-01,SO-004,Single Origin item 4,Single Origin,6.34,48
2024-07-03,SO-004,Single Origin item 4,Single Origin,6.34,47
2024-07-08,SO-004,Single Origin item 4,Single Origin,6.17,84
2024-07-15,SO-004,Single Origin item 4,Single Origin,7.21,35
2024-07-17,SO-004,Single Origin item 4,Single Origin,7.21,34
2024-07-19,SO-004,Single Origin item 4,Single Origin,7.21,34
2024-07-22,SO-004,Single Origin item 4,Single Origin,7.21,40
2024-07-24,SO-004,Single Origin item 4,Single Origin,7.21,39
2024-07-26,SO-004,Single Origin item 4,Single Origin,7.21,39
2024-07-29,SO-004,Single Origin item 4,Single Origin,7.21,37
2024-07-31,SO-004,Single Origin item 4,Single Origin,7.21,37
2024-08-02,SO-004,Single Origin item 4,Single Origin,7.21,37
2024-08-05,SO-004,Single Origin item 4,Single Origin,7.21,56
2024-08-07,SO-004,Single Origin item 4,Single Origin,7.21,56
2024-08-12,SO-004,Single Origin item 4,Single Origin,7.51,30
2024-08-14,SO-004,Single Origin item 4,Single Origin,7.51,30
2024-08-16,SO-004,Single Origin item 4,Single Origin,7.51,29
2024-08-19,SO-004,Single Origin item 4,Single Origin,7.51,85
2024-08-26,SO-004,Single Origin item 4,Single Origin,7.51,35
2024-08-28,SO-004,Single Origin item 4,Single Origin,7.51,34
2024-08-30,SO-004,Single Origin item 4,Single Origin,7.51,34
2024-09-02,SO-004,Single Origin item 4,Single Origin,7.51,23
2024-09-04,SO-004,Single Origin item 4,Single Origin,7.51,23
2024-09-06,SO-004,Single Origin item 4,Single Origin,7.51,22
2024-09-09,SO-004,Single Origin item 4,Single Origin,5.92,52
2024-09-11,SO-004,Single Origin item 4,Single Origin,5.92,52
2024-09-16,SO-004,Single Origin item 4,Single Origin,7.51,88
2024-09-23,SO-004,Single Origin item 4,Single Origin,7.51,40
2024-09-25,SO-004,Single Origin item 4,Single Origin,7.51,40
2024-09-30,SO-004,Single Origin item 4,Single Origin,5.42,54
2024-10-02,SO-004,Single Origin item 4,Single Origin,5.42,54
2024-10-07,SO-004,Single Origin item 4,Single Origin,5.63,38
2024-10-09,SO-004,Single Origin item 4,Single Origin,5.63,38
2024-10-11,SO-004,Single Origin item 4,Single Origin,5.63,37
2024-10-14,SO-004,Single Origin item 4,Single Origin,7.51,47
2024-10-16,SO-004,Single Origin item 4,Single Origin,7.51,46
2024-10-21,SO-004,Single Origin item 4,Single Origin,7.51,43
2024-10-23,SO-004,Single Origin item 4,Single Origin,7.51,43
2024-10-28,SO-004,Single Origin item 4,Single Origin,5.35,118
2024-11-04,SO-004,Single Origin item 4,Single Origin,7.51,50
2024-11-06,SO-004,Single Origin item 4,Single Origin,7.51,50
2024-11-11,SO-004,Single Origin item 4,Single Origin,7.51,101
2024-11-18,SO-004,Single Origin item 4,Single Origin,6.53,30
2024-11-20,SO-004,Single Origin item 4,Single Origin,6.53,30
2024-11-22,SO-004,Single Origin item 4,Single Origin,6.53,30
2024-11-25,SO-004,Single Origin item 4,Single Origin,7.51,89
2024-12-02,SO-004,Single Origin item 4,Single Origin,7.51,32
2024-12-04,SO-004,Single Origin item 4,Single Origin,7.51,32
2024-12-06,SO-004,Single Origin item 4,Single Origin,7.51,32
2024-12-09,SO-004,Single Origin item 4,Single Origin,7.51,52
2024-12-11,SO-004,Single Origin item 4,Single Origin,7.51,51
2024-12-16,SO-004,Single Origin item 4,Single Origin,5.59,56
2024-12-18,SO-004,Single Origin item 4,Single Origin,5.59,55
2024-12-23,SO-004,Single Origin item 4,Single Origin,7.51,93
2024-01-01,SO-005,Single Origin item 5,Single Origin,22.68,15
2024-01-08,SO-005,Single Origin item 5,Single Origin,22.68,3
2024-01-10,SO-005,Single Origin item 5,Single Origin,22.68,2
2024-01-12,SO-005,Single Origin item 5,Single Origin,22.68,2
2024-01-15,SO-005,Single Origin item 5,Single Origin,22.68,9
2024-01-17,SO-005,Single Origin item 5,Single Origin,22.68,8
2024-01-22,SO-005,Single Origin item 5,Single Origin,22.68,14
2024-01-29,SO-005,Single Origin item 5,Single Origin,22.99,16
2024-02-05,SO-005,Single Origin item 5,Single Origin,23.27,4
2024-02-07,SO-005,Single Origin item 5,Single Origin,23.27,4
2024-02-09,SO-005,Single Origin item 5,Single Origin,23.27,4
2024-02-12,SO-005,Single Origin item 5,Single Origin,23.27,8
